Codice RUN;Data Calcolo;Data Consolidamento;Data Emissione;Ordine Tipo Emissione;Codice Famiglia Emissione;Max numero conti cliente;Tipo catena;Conti cliente completi;Ordine criteri;Codice CD 1;Valore CD 1;Tipo associazione CD 1;Codice CD 2;Valore CD 2;Tipo associazione CD 2;Codice CD 3;Valore CD 3;Tipo associazione CD 3;Codice CD 4;Valore CD 4;Tipo associazione CD 4;Codice CD 5;Valore CD 5;Tipo associazione CD 5;Codice CD 6;Valore CD 6;Tipo associazione CD 6;Codice CD 7;Valore CD 7;Tipo associazione CD 7;Codice CD 8;Valore CD 8;Tipo associazione CD 8;Codice CD 9;Valore CD 9;Tipo associazione CD 9;Codice CD 10;Valore CD 10;Tipo associazione CD 10;FLG_BL_COM
2022_RUN_0104;21/11/2022;24/11/2022;25/11/2022;2;D;65000;D;N;1;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0105;24/11/2022;24/11/2022;25/11/2022;3;GR;235000;S;N;1;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0106;01/12/2022;01/12/2022;02/12/2022;1;GL;602000;S;N;1;DOMICILIATO;S;O;CADENZA;BIMESTRALE;O;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0107;01/12/2022;01/12/2022;02/12/2022;1;GL;602000;S;N;2;CEDIBILE;N;O;CADENZA;QUADRIMESTRALE;O;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0108;01/12/2022;01/12/2022;02/12/2022;2;P;350000;S;N;1;DOMICILIATO;S;O;CADENZA;BIMESTRALE;O;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0109;01/12/2022;01/12/2022;02/12/2022;3;D;175000;S;N;1;DOMICILIATO;S;O;CADENZA;BIMESTRALE;O;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0110;05/12/2022;05/12/2022;06/12/2022;1;GR;900000;S;N;1;DOMICILIATO;S;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0111;05/12/2022;05/12/2022;06/12/2022;1;GR;900000;S;N;2;CEDIBILE;N;O;CADENZA;QUADRIMESTRALE;O;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0112;06/12/2022;06/12/2022;07/12/2022;1;GL;15000;S;N;1;CADENZA;MENSILE;O;CEDIBILE;N;O;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0113;06/12/2022;06/12/2022;07/12/2022;2;P;43000;S;N;1;CADENZA;MENSILE;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0114;06/12/2022;06/12/2022;07/12/2022;3;D;18000;S;N;1;CADENZA;MENSILE;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0115;14/12/2022;14/12/2022;15/12/2022;1;GR;915000;S;N;1;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0116;10/12/2022;15/12/2022;16/12/2022;1;GL;455000;D;N;1;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0117;10/12/2022;15/12/2022;16/12/2022;2;P;375000;D;N;1;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0118;10/12/2022;15/12/2022;16/12/2022;3;D;70000;D;N;1;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;S
